TeamA,TeamB,GameDate,Attendence,Venue
England,Netherlands,"['Saturday June 16, 1990']",35267,"Sant Elia, Cagliari  (Neutral Site)"
England,Egypt,"['Thursday June 21, 1990']",34959,"Sant Elia, Cagliari  (Neutral Site)"
Republic of Ireland,Egypt,"['Sunday June 17, 1990']",33288,"Della Favorita, Palermo  (Neutral Site)"
Republic of Ireland,Netherlands,"['Thursday June 21, 1990']",33288,"Della Favorita, Palermo  (Neutral Site)"
Netherlands,Egypt,"['Tuesday June 12, 1990']",33288,"Della Favorita, Palermo  (Neutral Site)"
Colombia,Romania,"['Saturday June 18, 1994']",91856,"Rose Bowl, Los Angeles  (Neutral Site)"
Romania,Switzerland,"['Wednesday June 22, 1994']",61428,"Pontiac Silverdome, Detroit  (Neutral Site)"
United States,Romania,"['Sunday June 26, 1994']",93869,"Rose Bowl, Los Angeles  (Neutral Site)"
Romania,Argentina,"['Sunday July 3, 1994']",90469,"Rose Bowl, Los Angeles  (Neutral Site)"
Romania,Sweden,"['Sunday July 10, 1994']",83500,"Stanford Stadium, San Francisco  (Neutral Site)"
United States,Switzerland,"['Saturday June 18, 1994']",73425,"Pontiac Silverdome, Detroit  (Neutral Site)"
Switzerland,Colombia,"['Sunday June 26, 1994']",83401,"Stanford Stadium, San Francisco  (Neutral Site)"
Spain,Switzerland,"['Saturday July 2, 1994']",53121,"RFK Stadium, Washington Dc  (Neutral Site)"
United States,Colombia,"['Wednesday June 22, 1994']",93869,"Rose Bowl, Los Angeles  (Neutral Site)"
Brazil,United States,"['Monday July 4, 1994']",84147,"Stanford Stadium, San Francisco  (Neutral Site)"
Brazil,Russia,"['Monday June 20, 1994']",81061,"Stanford Stadium, San Francisco  (Neutral Site)"
Brazil,Cameroon,"['Friday June 24, 1994']",83401,"Stanford Stadium, San Francisco  (Neutral Site)"
Brazil,Sweden,"['Tuesday June 28, 1994']",77217,"Pontiac Silverdome, Detroit  (Neutral Site)"
Netherlands,Brazil,"['Saturday July 9, 1994']",63500,"Cotton Bowl, Dallas  (Neutral Site)"
Sweden,Brazil,"['Wednesday July 13, 1994']",91856,"Rose Bowl, Los Angeles  (Neutral Site)"
Brazil,Italy,"['Sunday July 17, 1994']",94194,"Rose Bowl, Los Angeles  (Neutral Site)"
Cameroon,Sweden,"['Sunday June 19, 1994']",93194,"Rose Bowl, Los Angeles  (Neutral Site)"
Sweden,Russia,"['Friday June 24, 1994']",71528,"Pontiac Silverdome, Detroit  (Neutral Site)"
Saudi Arabia,Sweden,"['Sunday July 3, 1994']",60277,"Cotton Bowl, Dallas  (Neutral Site)"
Sweden,Bulgaria,"['Saturday July 16, 1994']",91500,"Rose Bowl, Los Angeles  (Neutral Site)"
Russia,Cameroon,"['Tuesday June 28, 1994']",74914,"Stanford Stadium, San Francisco  (Neutral Site)"
Germany,Bolivia,"['Friday June 17, 1994']",63117,"Soldier Field, Chicago  (Neutral Site)"
Germany,Spain,"['Tuesday June 21, 1994']",63113,"Soldier Field, Chicago  (Neutral Site)"
Germany,Korea Republic,"['Monday June 27, 1994']",63998,"Cotton Bowl, Dallas  (Neutral Site)"
Germany,Belgium,"['Saturday July 2, 1994']",60246,"Soldier Field, Chicago  (Neutral Site)"
Bulgaria,Germany,"['Sunday July 10, 1994']",72000,"Giants Stadium, New York/New Jersey  (Neutral Site)"
Spain,Korea Republic,"['Friday June 17, 1994']",56247,"Cotton Bowl, Dallas  (Neutral Site)"
Bolivia,Spain,"['Monday June 27, 1994']",63089,"Soldier Field, Chicago  (Neutral Site)"
Italy,Spain,"['Saturday July 9, 1994']",53400,"Foxboro Stadium, Boston  (Neutral Site)"
Korea Republic,Bolivia,"['Thursday June 23, 1994']",54453,"Foxboro Stadium, Boston  (Neutral Site)"
Nigeria,Bulgaria,"['Tuesday June 21, 1994']",44132,"Cotton Bowl, Dallas  (Neutral Site)"
Argentina,Nigeria,"['Saturday June 25, 1994']",54453,"Foxboro Stadium, Boston  (Neutral Site)"
Greece,Nigeria,"['Thursday June 30, 1994']",53001,"Foxboro Stadium, Boston  (Neutral Site)"
Nigeria,Italy,"['Tuesday July 5, 1994']",54367,"Foxboro Stadium, Boston  (Neutral Site)"
Bulgaria,Greece,"['Sunday June 26, 1994']",63160,"Soldier Field, Chicago  (Neutral Site)"
Argentina,Bulgaria,"['Thursday June 30, 1994']",63998,"Cotton Bowl, Dallas  (Neutral Site)"
Mexico,Bulgaria,"['Tuesday July 5, 1994']",71030,"Giants Stadium, New York/New Jersey  (Neutral Site)"
Bulgaria,Italy,"['Wednesday July 13, 1994']",74110,"Giants Stadium, New York/New Jersey  (Neutral Site)"
Argentina,Greece,"['Tuesday June 21, 1994']",54456,"Foxboro Stadium, Boston  (Neutral Site)"
Norway,Mexico,"['Sunday June 19, 1994']",52395,"RFK Stadium, Washington Dc  (Neutral Site)"
Mexico,Republic of Ireland,"['Friday June 24, 1994']",60790,"Citrus Bowl, Orlando  (Neutral Site)"
Italy,Mexico,"['Tuesday June 28, 1994']",52535,"RFK Stadium, Washington Dc  (Neutral Site)"
Italy,Republic of Ireland,"['Saturday June 18, 1994']",75338,"Giants Stadium, New York/New Jersey  (Neutral Site)"
Republic of Ireland,Norway,"['Tuesday June 28, 1994']",72404,"Giants Stadium, New York/New Jersey  (Neutral Site)"
Netherlands,Republic of Ireland,"['Monday July 4, 1994']",61355,"Citrus Bowl, Orlando  (Neutral Site)"
Italy,Norway,"['Thursday June 23, 1994']",74624,"Giants Stadium, New York/New Jersey  (Neutral Site)"
Netherlands,Saudi Arabia,"['Monday June 20, 1994']",50535,"RFK Stadium, Washington Dc  (Neutral Site)"
Belgium,Netherlands,"['Saturday June 25, 1994']",62387,"Citrus Bowl, Orlando  (Neutral Site)"
Morocco,Netherlands,"['Wednesday June 29, 1994']",60578,"Citrus Bowl, Orlando  (Neutral Site)"
Saudi Arabia,Morocco,"['Saturday June 25, 1994']",76322,"Giants Stadium, New York/New Jersey  (Neutral Site)"
Belgium,Saudi Arabia,"['Wednesday June 29, 1994']",52959,"RFK Stadium, Washington Dc  (Neutral Site)"
Belgium,Morocco,"['Sunday June 19, 1994']",61219,"Citrus Bowl, Orlando  (Neutral Site)"
Brazil,Scotland,"['Wednesday June 10, 1998']",80000,"Stade de France, Paris (Neutral Site)"
Brazil,Morocco,"['Tuesday June 16, 1998']",38500,"Stade de la Beaujoire - Louis Fonteneau, Nantes (Neutral Site)"
Brazil,Norway,"['Tuesday June 23, 1998']",57000,"Orange Vélodrome, Marseille (Neutral Site)"
Brazil,Chile,"['Saturday June 27, 1998']",45500,"Parc des Princes, Paris (Neutral Site)"
Brazil,Denmark,"['Friday July 3, 1998']",49500,"Stade de la Beaujoire - Louis Fonteneau, Nantes (Neutral Site)"
Brazil,Netherlands,"['Tuesday July 7, 1998']",60000,"Orange Vélodrome, Marseille (Neutral Site)"
Brazil,France,"['Sunday July 12, 1998']",80000,"Stade de France, Paris (Neutral Site)"
Morocco,Norway,"['Wednesday June 10, 1998']",29750,"Stade de la Mosson, Montpellier (Neutral Site)"
Scotland,Norway,"['Tuesday June 16, 1998']",31800,"Stade Jacques Chaban-Delmas, Bordeaux (Neutral Site)"
Italy,Norway,"['Saturday June 27, 1998']",55000,"Orange Vélodrome, Marseille (Neutral Site)"
Scotland,Morocco,"['Tuesday June 23, 1998']",36000,"Stade Geoffroy-Guichard, Saint-Étienne (Neutral Site)"
Italy,Chile,"['Thursday June 11, 1998']",35200,"Stade Jacques Chaban-Delmas, Bordeaux (Neutral Site)"
Italy,Cameroon,"['Wednesday June 17, 1998']",35500,"Stade de la Mosson, Montpellier (Neutral Site)"
Italy,Austria,"['Tuesday June 23, 1998']",80000,"Stade de France, Paris (Neutral Site)"
Italy,France,"['Friday July 3, 1998']",80000,"Stade de France, Paris (Neutral Site)"
Chile,Austria,"['Wednesday June 17, 1998']",36000,"Stade Geoffroy-Guichard, Saint-Étienne (Neutral Site)"
Chile,Cameroon,"['Tuesday June 23, 1998']",39500,"Stade de la Beaujoire - Louis Fonteneau, Nantes (Neutral Site)"
Cameroon,Austria,"['Thursday June 11, 1998']",36500,"Stadium Municipal, Toulouse (Neutral Site)"
France,South Africa,"['Friday June 12, 1998']",55000,"Orange Vélodrome, Marseille (Neutral Site)"
France,Saudi Arabia,"['Thursday June 18, 1998']",80000,"Stade de France, Paris (Neutral Site)"
France,Denmark,"['Wednesday June 24, 1998']",39100,"Matmut Stadium de Gerland, Lyon (Neutral Site)"
France,Paraguay,"['Sunday June 28, 1998']",31800,"Stade Bollaert-Delelis, Lens (Neutral Site)"
France,Croatia,"['Wednesday July 8, 1998']",80000,"Stade de France, Paris (Neutral Site)"
Saudi Arabia,Denmark,"['Friday June 12, 1998']",38100,"Stade Bollaert-Delelis, Lens (Neutral Site)"
South Africa,Denmark,"['Thursday June 18, 1998']",33500,"Stadium Municipal, Toulouse (Neutral Site)"
Nigeria,Denmark,"['Sunday June 28, 1998']",77000,"Stade de France, Paris (Neutral Site)"
South Africa,Saudi Arabia,"['Wednesday June 24, 1998']",31800,"Stade Jacques Chaban-Delmas, Bordeaux (Neutral Site)"
Spain,Nigeria,"['Saturday June 13, 1998']",38000,"Stade de la Beaujoire - Louis Fonteneau, Nantes (Neutral Site)"
Nigeria,Bulgaria,"['Friday June 19, 1998']",48000,"Parc des Princes, Paris (Neutral Site)"
Nigeria,Paraguay,"['Wednesday June 24, 1998']",33400,"Stadium Municipal, Toulouse (Neutral Site)"
Paraguay,Bulgaria,"['Friday June 12, 1998']",27650,"Stade de la Mosson, Montpellier (Neutral Site)"
Spain,Paraguay,"['Friday June 19, 1998']",36000,"Stade Geoffroy-Guichard, Saint-Étienne (Neutral Site)"
Spain,Bulgaria,"['Wednesday June 24, 1998']",41275,"Stade Bollaert-Delelis, Lens (Neutral Site)"
Netherlands,Belgium,"['Saturday June 13, 1998']",77000,"Stade de France, Paris (Neutral Site)"
Netherlands,Korea Republic,"['Saturday June 20, 1998']",55000,"Orange Vélodrome, Marseille (Neutral Site)"
Netherlands,Mexico,"['Thursday June 25, 1998']",30600,"Stade Geoffroy-Guichard, Saint-Étienne (Neutral Site)"
Netherlands,Serbia,"['Monday June 29, 1998']",33000,"Stadium Municipal, Toulouse (Neutral Site)"
Netherlands,Argentina,"['Saturday July 4, 1998']",60000,"Orange Vélodrome, Marseille (Neutral Site)"
Netherlands,Croatia,"['Saturday July 11, 1998']",44000,"Parc des Princes, Paris (Neutral Site)"
Korea Republic,Mexico,"['Saturday June 13, 1998']",39100,"Matmut Stadium de Gerland, Lyon (Neutral Site)"
Belgium,Mexico,"['Saturday June 20, 1998']",31800,"Stade Jacques Chaban-Delmas, Bordeaux (Neutral Site)"
Germany,Mexico,"['Monday June 29, 1998']",29800,"Stade de la Mosson, Montpellier (Neutral Site)"
Belgium,Korea Republic,"['Thursday June 25, 1998']",45500,"Parc des Princes, Paris (Neutral Site)"
Germany,United States,"['Monday June 15, 1998']",49000,"Parc des Princes, Paris (Neutral Site)"
Germany,Serbia,"['Sunday June 21, 1998']",41275,"Stade Bollaert-Delelis, Lens (Neutral Site)"
Germany,Iran,"['Thursday June 25, 1998']",35500,"Stade de la Mosson, Montpellier (Neutral Site)"
Germany,Croatia,"['Saturday July 4, 1998']",43300,"Matmut Stadium de Gerland, Lyon (Neutral Site)"
Serbia,Iran,"['Sunday June 14, 1998']",36000,"Stade Geoffroy-Guichard, Saint-Étienne (Neutral Site)"
United States,Serbia,"['Thursday June 25, 1998']",38500,"Stade de la Beaujoire - Louis Fonteneau, Nantes (Neutral Site)"
United States,Iran,"['Sunday June 21, 1998']",43300,"Matmut Stadium de Gerland, Lyon (Neutral Site)"
Romania,Colombia,"['Monday June 15, 1998']",43300,"Matmut Stadium de Gerland, Lyon (Neutral Site)"
Romania,England,"['Monday June 22, 1998']",33140,"Stadium Municipal, Toulouse (Neutral Site)"
Romania,Tunisia,"['Friday June 26, 1998']",80000,"Stade de France, Paris (Neutral Site)"
Romania,Croatia,"['Tuesday June 30, 1998']",31800,"Stade Jacques Chaban-Delmas, Bordeaux (Neutral Site)"
England,Tunisia,"['Monday June 15, 1998']",54587,"Orange Vélodrome, Marseille (Neutral Site)"
Colombia,England,"['Friday June 26, 1998']",42000,"Stade Bollaert-Delelis, Lens (Neutral Site)"
Argentina,England,"['Tuesday June 30, 1998']",30600,"Stade Geoffroy-Guichard, Saint-Étienne (Neutral Site)"
Colombia,Tunisia,"['Monday June 22, 1998']",35500,"Stade de la Mosson, Montpellier (Neutral Site)"
Argentina,Japan,"['Sunday June 14, 1998']",33500,"Stadium Municipal, Toulouse (Neutral Site)"
Argentina,Jamaica,"['Sunday June 21, 1998']",45500,"Parc des Princes, Paris (Neutral Site)"
Argentina,Croatia,"['Friday June 26, 1998']",31800,"Stade Jacques Chaban-Delmas, Bordeaux (Neutral Site)"
Jamaica,Croatia,"['Sunday June 14, 1998']",38100,"Stade Bollaert-Delelis, Lens (Neutral Site)"
Japan,Croatia,"['Saturday June 20, 1998']",35500,"Stade de la Beaujoire - Louis Fonteneau, Nantes (Neutral Site)"
Japan,Jamaica,"['Friday June 26, 1998']",39100,"Matmut Stadium de Gerland, Lyon (Neutral Site)"
Uruguay,Denmark,"['Saturday June 1, 2002']",30157,"Munsu Cup Stadium, Ulsan (Neutral Site)"
Denmark,Senegal,"['Thursday June 6, 2002']",43500,"Daegu Main Stadium, Daegu (Neutral Site)"
Denmark,France,"['Tuesday June 11, 2002']",48100,"Incheon Munhak Stadium, Incheon (Neutral Site)"
Denmark,England,"['Saturday June 15, 2002']",40582,"Denka Big Swan Stadium, Niigata (Neutral Site)"
France,Senegal,"['Friday May 31, 2002']",62561,"Seoul World Cup Stadium, Seoul (Neutral Site)"
Senegal,Uruguay,"['Tuesday June 11, 2002']",33681,"Suwon World Cup Stadium, Suwon (Neutral Site)"
Sweden,Senegal,"['Sunday June 16, 2002']",39747,"Ōita Bank Dome, Ōita (Neutral Site)"
Senegal,Turkey,"['Saturday June 22, 2002']",44233,"Yanmar Stadium Nagai, Osaka (Neutral Site)"
France,Uruguay,"['Thursday June 6, 2002']",38070,"Busan Sport Complex Asiad Stadium, Busan (Neutral Site)"
Spain,Slovenia,"['Sunday June 2, 2002']",28588,"Guus Hiddink Stadium, Gwangju (Neutral Site)"
Spain,Paraguay,"['Friday June 7, 2002']",24000,"Jeonju World Cup Stadium, Jeonju (Neutral Site)"
South Africa,Spain,"['Wednesday June 12, 2002']",31024,"Daejeon World Cup Stadium, Daejeon (Neutral Site)"
Spain,Republic of Ireland,"['Sunday June 16, 2002']",38926,"Suwon World Cup Stadium, Suwon (Neutral Site)"
Spain,Korea Republic,"['Saturday June 22, 2002']",42114,"Guus Hiddink Stadium, Gwangju (Neutral Site)"
Paraguay,South Africa,"['Sunday June 2, 2002']",25186,"Busan Sport Complex Asiad Stadium, Busan (Neutral Site)"
Slovenia,Paraguay,"['Wednesday June 12, 2002']",30176,"Jeju World Cup Stadium, Jeju (Neutral Site)"
Germany,Paraguay,"['Saturday June 15, 2002']",25176,"Jeju World Cup Stadium, Jeju (Neutral Site)"
South Africa,Slovenia,"['Saturday June 8, 2002']",47226,"Daegu Main Stadium, Daegu (Neutral Site)"
Brazil,Turkey,"['Monday June 3, 2002']",33842,"Munsu Cup Stadium, Ulsan (Neutral Site)"
Brazil,China PR,"['Saturday June 8, 2002']",36750,"Jeju World Cup Stadium, Jeju (Neutral Site)"
Costa Rica,Brazil,"['Thursday June 13, 2002']",38524,"Suwon World Cup Stadium, Suwon (Neutral Site)"
Brazil,Belgium,"['Monday June 17, 2002']",40440,"NOEVIR Stadium Kobe, Kobe (Neutral Site)"
England,Brazil,"['Friday June 21, 2002']",47436,"Daejeon World Cup Stadium, Daejeon (Neutral Site)"
Brazil,Turkey,"['Wednesday June 26, 2002']",61058,"Saitama Stadium 2002, Saitama (Neutral Site)"
Germany,Brazil,"['Sunday June 30, 2002']",69029,"Nissan Stadium, Yokohama (Neutral Site)"
Costa Rica,Turkey,"['Sunday June 9, 2002']",42299,"Incheon Munhak Stadium, Incheon (Neutral Site)"
Turkey,China PR,"['Thursday June 13, 2002']",43605,"Seoul World Cup Stadium, Seoul (Neutral Site)"
Japan,Turkey,"['Tuesday June 18, 2002']",45666,"Miyagi Stadium, Rifu (Neutral Site)"
Korea Republic,Turkey,"['Saturday June 29, 2002']",63483,"Daegu Main Stadium, Daegu (Neutral Site)"
China PR,Costa Rica,"['Tuesday June 4, 2002']",27217,"Guus Hiddink Stadium, Gwangju (Neutral Site)"
Korea Republic,Poland,"['Tuesday June 4, 2002']",48760,"Busan Sport Complex Asiad Stadium, Busan (Neutral Site)"
Korea Republic,United States,"['Monday June 10, 2002']",60778,"Daegu Main Stadium, Daegu (Neutral Site)"
Portugal,Korea Republic,"['Friday June 14, 2002']",50239,"Incheon Munhak Stadium, Incheon (Neutral Site)"
